		
item	legality	note
"tea, spearmint"	legal	
"tea, weak"	legal	"Ordinary black tea is legal but should be made weak. Instant tea, Ojibwa tea (Essiac), many herbal teas, teas made from bark etc., are  illegal. Peppermint and spearmint  herb teas are legal, as well as home made ginger tea."
"teas, herbal"	illegal	tend to be laxative
thyme	legal	
tofu	illegal	
Tofutti cheese	illegal	
tomato juice	legal	only salt added. No V-8.
tomato juice mixtures	illegal	
"tomato paste, canned"	illegal	
"tomato puree, canned"	illegal	
"tomato sauce, canned"	illegal	
tomatoes	legal	
"toor dal (dhal, dahl, daal, daar)"	unknown	aka: yellow pigeon pea
Triticale	illegal	
turbinado	illegal	
turnips	illegal	previously legal
"uncreamed cottage cheese
aka: dry curd cottage cheese"	legal	freely - not shredded / grated
unflavored gelatin	legal	
"urad dal (dhal, dahl, daal, daar)"	unknown	"aka: urd bean, urd, urid, black gram, black lentil or white lentil"
V8 juice	illegal	
"val dal (dhal, dahl, daal, daar)"	illegal	"aka: split lab beans, bonavist, Egyptian, Fugi mame, India bean, hyacinth, field, avarekai, fava"
vanillin	legal	but not in pure form
vegetable cellulose	legal	found in supplements
vegetable stearate	legal	a vegetable fat
"vegetables, canned"	illegal	none - must be fresh or frozen
"vinegar, apple cider"	legal	not gourmet as these have added sugars. Must be filtered.
"vinegar, red or white wine"	legal	not gourmet as these have added sugars
"vinegar, white"	legal	not gourmet as these have added sugars
vodka	legal	occasionally
walnut oil	legal	doesn't withstand heat well
walnuts	legal	mixes not allowed
wasabi	legal	w/o additives or fillers
water chestnuts	illegal	
watercress	legal	
watermelon	legal	
wheat	illegal	
wheat germ	illegal	
white kidney bean	illegal	"aka: cannellini, great northern, fazolia"
"wine, very dry "	legal	
Wright's liquid smoke	legal	
xanthum gum	illegal	
xylitol	illegal	"sorbitol, mannitol and xylitol are all sugar alcohols"
yam - aka: sweet potato	illegal	
"yoghurt, commercial"	illegal	except as a starter for home made yoghurt. Danon plain is good. Check label.
"yoghurt, home made"	legal	processed at least 24 hrs. Milk and cream are okay. Cow or goat.
yucca root	illegal	
zuchinni - aka: courgette	legal	
